UDI,Machine_Age_Years,Operating_Hours,Days_Since_Last_Maintenance,Maintenance_Count_Last_Year,Energy_Consumption_kWh,Vibration_Level_mm_s,Humidity_Percent,Ambient_Dust_Level_ug_m3,Maintenance_Cost_USD
5031,10,14011,247,5,59.12,3.59,44.8,33.1,1193.45
5032,10,15915,203,7,73.97,4.15,56.8,51.5,1280.11
5033,11,15425,206,8,61.18,4.35,30.2,47.5,1395.84
5034,9,15229,257,7,70.66,2.81,45.3,18.8,1250.97
5035,11,20441,154,7,59.53,2.57,50.0,40.2,1201.88
5036,7,12201,226,4,68.17,4.27,67.0,51.0,834.7
5037,10,18770,222,8,66.36,3.84,32.8,42.9,1289.68
5038,8,19678,186,6,57.08,3.56,67.2,30.2,1067.93
5039,7,16520,193,5,52.87,4.11,62.9,39.1,853.06
5040,8,15830,241,6,53.67,5.81,33.6,19.1,1008.51
5041,10,19543,257,6,53.58,3.81,61.5,42.2,1274.46
5042,9,15225,224,6,61.27,5.04,43.8,34.0,985.69
5043,11,17410,246,7,55.33,4.27,61.9,42.3,1323.36
5044,8,16303,167,5,58.53,3.97,62.6,25.4,872.02
5045,7,15748,138,4,65.01,4.44,64.5,30.6,844.96
5046,13,24082,181,7,72.05,4.09,48.1,25.1,1223.13
5047,12,20522,203,9,55.28,4.09,63.2,39.0,1521.54
5048,9,18200,120,7,56.4,4.59,73.5,39.0,1102.92
5049,11,20684,144,7,75.43,6.48,51.5,50.9,1432.45
5050,13,22873,141,9,64.21,5.08,53.0,65.7,1724.06
5051,12,21986,170,8,58.09,5.36,63.5,37.4,1364.31
5052,12,21038,161,8,60.96,5.01,30.0,48.0,1320.05
5053,14,25230,128,8,63.47,5.76,43.2,45.3,1470.62
5054,11,21593,154,8,55.0,5.17,67.1,39.6,1475.98
5055,12,21930,112,10,64.68,5.47,56.8,44.7,1704.64
5056,12,23679,131,8,58.75,4.52,52.4,42.7,1397.52
5057,12,24447,100,9,72.43,5.77,43.7,58.9,1670.23
5058,12,24056,130,8,70.24,6.93,55.3,41.6,1471.87
5059,13,22766,108,10,59.2,6.25,48.6,36.9,1632.06
5060,13,24569,151,9,73.07,5.81,34.0,47.5,1390.09
5061,11,20743,127,6,71.93,5.37,70.6,33.4,1363.95
5062,14,25945,118,9,82.17,8.82,46.7,45.0,1609.49
5063,12,22129,176,9,73.69,5.97,51.7,52.5,1320.58
5064,3,5516,365,3,55.72,0.66,33.6,24.0,508.86
5065,3,5000,348,1,52.39,0.8,48.6,30.2,71.49
5066,4,6844,339,2,56.55,2.21,67.1,26.3,527.08
5067,1,3183,319,0,47.77,1.17,66.2,24.1,161.02
5068,5,6089,350,4,69.52,1.5,55.3,24.4,655.92
5069,3,3592,357,3,43.96,1.25,47.5,32.5,368.49
5070,6,10578,287,3,67.63,1.39,55.3,21.5,647.99
5071,3,4252,300,0,51.23,1.29,61.1,19.6,240.64
5072,4,3803,322,0,55.73,2.29,37.0,28.7,149.32
5073,7,11171,298,4,71.42,1.72,58.0,40.6,721.83
5074,4,6366,330,3,62.39,1.05,64.2,29.7,444.78
5075,7,12144,331,3,48.05,2.02,54.3,38.1,604.9
5076,5,7939,319,3,64.71,1.82,54.8,20.3,543.95
5077,5,7635,337,2,64.28,2.12,46.3,27.5,390.23
5078,5,10044,301,4,48.17,1.81,58.6,31.9,582.76
5079,6,6737,314,3,73.41,1.75,74.3,32.4,765.05
5080,4,5902,282,1,71.54,2.55,71.9,19.3,255.56
5081,4,5584,317,2,72.66,3.1,48.1,21.3,346.77
5082,4,3712,308,2,59.13,1.3,50.5,26.9,419.42
5083,6,10850,267,4,69.26,2.34,71.4,38.0,743.82
5084,6,8929,292,5,66.94,2.15,62.1,48.8,833.57
5085,7,12413,293,5,42.94,2.02,61.9,25.3,766.0
5086,8,12929,300,5,74.88,1.45,33.3,36.4,919.04
5087,5,9791,298,3,65.92,2.78,66.0,21.8,574.47
5088,5,8287,264,3,54.63,2.41,51.6,29.8,592.12
5089,4,6759,305,1,55.79,2.45,57.8,24.9,306.43
5090,10,15330,295,6,67.13,3.38,46.5,43.3,1138.56
5091,7,13109,254,4,52.21,2.63,74.8,18.1,652.7
5092,8,12989,238,6,61.16,2.68,43.3,33.3,1294.08
5093,5,8502,251,3,57.14,2.31,78.4,30.9,605.35
5094,7,10291,222,5,71.22,2.6,55.3,35.6,955.89
5095,8,13731,269,5,60.85,3.86,53.0,38.6,981.08
5096,7,11529,295,4,50.47,3.51,44.4,35.3,747.98
5097,9,14787,298,6,50.54,3.92,48.7,48.1,979.95
5098,11,17162,217,7,69.31,2.98,52.6,52.6,1258.03
5099,6,10943,271,5,58.96,3.63,56.6,30.3,744.16
5100,6,12141,248,4,62.93,4.02,61.5,27.8,567.77
5101,7,13822,171,6,68.23,3.84,52.5,35.6,1208.64
5102,11,20873,229,7,68.76,4.42,61.5,48.5,1361.21
5103,10,17997,222,4,58.59,3.9,69.2,40.3,889.91
5104,8,16986,268,5,48.78,3.77,67.7,27.3,926.53
5105,9,14657,203,7,63.36,2.65,62.5,45.7,1260.75
5106,8,12374,244,4,70.84,4.08,61.0,39.2,787.02
5107,10,17243,221,5,45.64,4.22,42.3,54.1,937.66
5108,8,16242,179,5,56.61,4.55,57.5,30.0,1055.3
5109,9,17297,203,7,71.35,3.63,42.0,39.9,1107.31
5110,10,19352,263,6,62.98,4.06,67.2,43.5,1237.35
5111,9,12665,209,7,49.96,3.35,58.5,36.2,1201.29
5112,9,18484,237,8,53.75,3.42,68.6,30.4,1343.99
5113,10,18398,233,5,66.36,4.53,69.1,42.2,963.39
5114,11,16914,191,7,56.61,4.98,60.3,38.6,1163.46
5115,12,21605,163,5,58.19,5.05,46.9,44.2,1004.65
5116,11,19709,164,8,46.67,4.69,30.0,42.3,1428.45
5117,11,20162,238,7,61.9,5.57,61.5,33.5,1191.16
5118,10,19979,197,6,48.02,4.4,53.0,36.5,1032.46
5119,9,18015,138,7,58.05,5.1,64.6,34.7,1270.18
5120,11,17696,211,6,58.34,4.07,63.4,42.5,1198.67
5121,11,19780,130,6,64.59,3.2,62.2,45.8,1027.96
5122,9,15304,155,4,61.21,4.61,58.0,40.6,956.11
5123,10,19994,180,8,51.24,4.84,35.1,47.0,1484.94
5124,11,22542,247,9,53.06,5.14,70.2,43.3,1492.25
5125,10,17518,193,7,57.24,5.01,39.9,56.0,1066.96
5126,14,23308,150,8,53.98,5.36,47.2,51.1,1377.75
5127,12,20726,162,9,47.25,6.12,51.0,33.3,1501.71
5128,14,23859,186,12,48.48,5.67,55.2,44.9,2117.45
5129,12,22894,198,8,64.11,4.99,51.2,69.6,1453.5
5130,12,21700,145,7,50.59,4.17,48.3,33.3,1196.34
5131,11,22279,142,9,54.11,4.96,64.6,45.8,1664.77
5132,12,24188,122,7,57.85,6.22,39.0,62.1,1313.94
5133,12,24333,164,8,63.88,5.35,50.0,34.2,1519.31
5134,10,18693,173,5,53.7,5.99,30.0,52.7,967.15
5135,12,24939,81,8,64.27,6.02,42.6,56.7,1246.75
5136,12,25149,125,7,50.18,5.72,36.2,41.9,1142.83
5137,13,26569,98,10,55.19,5.76,63.8,31.1,1635.12
5138,13,24093,137,8,54.99,5.52,57.2,51.0,1509.59
5139,12,22092,93,9,51.93,7.01,45.3,43.5,1602.16
5140,14,24279,87,9,52.11,5.5,30.0,46.7,1825.32
5141,13,23037,156,9,55.67,6.61,36.7,51.5,1597.17
5142,9,20043,114,8,47.27,8.54,41.8,38.3,1309.56
5143,2,3672,363,1,56.81,1.31,50.7,11.5,102.12
5144,5,8050,365,2,60.1,0.99,64.1,29.3,530.94
5145,1,697,365,0,49.09,0.5,37.7,25.1,184.46
5146,4,5057,344,3,46.32,0.6,38.8,32.1,456.68
5147,6,7449,342,1,52.91,0.84,34.9,42.4,347.48
5148,2,1942,340,3,49.05,1.46,55.0,8.6,474.43
5149,4,6489,365,2,64.45,1.77,30.0,36.3,318.71
5150,2,3619,345,1,61.12,1.53,33.8,21.1,50.0
5151,6,8178,336,3,46.87,1.55,60.7,33.7,613.7
5152,4,6192,354,2,64.7,2.0,73.3,35.1,456.94
5153,4,6668,365,2,56.91,0.5,55.8,22.1,306.24
5154,6,9143,340,2,55.39,0.5,51.2,29.1,477.9
5155,5,5867,327,3,54.25,0.85,81.1,34.7,765.92
5156,3,6159,365,2,63.88,2.14,48.7,21.4,469.9
5157,4,6623,365,3,60.18,0.8,48.8,30.8,569.98
5158,5,6878,360,4,67.19,1.85,48.6,21.5,625.89
5159,4,6906,303,2,61.95,1.52,73.0,37.8,462.67
5160,2,4762,298,1,54.37,2.1,61.5,30.2,50.0
5161,5,9558,258,1,58.75,2.0,61.3,24.0,309.5
5162,3,4056,340,3,57.85,2.25,58.9,34.9,427.19
5163,8,13747,310,5,59.13,2.0,49.5,39.5,994.59
5164,6,9485,251,4,47.17,2.6,51.1,24.5,501.64
5165,4,6426,337,3,55.55,3.06,43.4,33.6,770.6
5166,5,7715,288,3,60.27,3.03,50.2,35.8,515.39
5167,3,4708,289,5,59.68,2.27,58.4,13.4,881.0
5168,5,6224,244,3,53.13,2.14,52.7,10.7,632.3
5169,8,13541,302,5,54.48,2.72,64.7,32.9,952.04
5170,10,18121,296,5,52.76,3.74,58.2,34.2,1023.52
5171,8,10414,277,6,54.56,2.77,57.3,41.2,1047.35
5172,7,10349,262,4,57.47,3.29,44.6,28.8,711.35
5173,6,11837,350,4,42.16,3.34,40.3,27.3,761.99
5174,6,10732,233,5,44.88,3.39,41.5,46.6,819.62
5175,10,16987,244,6,68.14,3.71,68.1,50.2,1174.57
5176,7,12117,283,4,46.07,2.49,34.3,21.9,800.98
5177,11,16289,229,4,55.54,2.72,57.3,52.9,879.83
5178,10,15756,223,6,70.62,3.3,57.3,52.7,1069.5
5179,5,6747,284,3,62.85,4.02,46.8,29.0,586.63
5180,7,11230,262,4,55.55,4.14,54.6,31.0,802.03
5181,7,14502,255,6,58.96,3.58,57.1,19.0,950.52
5182,8,16158,243,6,52.9,4.15,41.1,25.4,939.12
5183,8,16569,215,4,63.5,3.49,45.5,35.3,825.35
5184,13,21211,225,8,47.03,3.34,53.4,42.4,1515.34
5185,7,10101,227,4,62.78,3.16,53.8,31.4,771.59
5186,9,15022,252,6,48.55,3.81,37.9,41.0,1070.54
5187,10,19252,237,6,45.3,3.75,55.0,54.4,1199.39
5188,9,18590,194,5,61.2,4.48,55.5,33.5,862.72
5189,9,18289,243,7,61.48,4.31,66.0,33.5,1116.2
5190,8,14781,167,6,64.93,4.1,53.7,35.1,982.69
5191,9,14510,204,8,61.56,4.18,49.2,36.1,1308.33
5192,10,17699,177,6,64.98,3.99,63.2,53.7,1056.49
5193,10,17872,183,5,77.66,3.36,67.4,38.6,938.6
5194,10,20288,264,8,68.02,3.71,37.4,47.5,1450.65
5195,12,20907,156,9,59.69,4.82,47.7,64.9,1551.75
5196,11,19525,172,8,51.72,4.43,30.0,56.1,1480.21
5197,10,18500,210,6,61.53,3.89,42.4,38.7,1120.47
5198,9,18015,174,5,59.65,5.36,71.8,34.4,888.77
5199,10,19780,187,7,74.07,5.65,41.0,32.5,1350.72
5200,10,17843,223,6,60.77,5.45,59.5,41.0,1079.62
5201,11,18634,197,7,79.11,5.11,58.8,29.6,1313.87
5202,10,21166,161,10,65.71,5.09,46.9,58.1,1673.49
5203,10,16783,168,9,64.74,5.01,48.5,35.8,1461.07
5204,9,20592,185,7,53.19,5.16,70.6,38.5,1174.68
5205,9,15404,185,6,49.42,5.46,65.2,40.4,1001.62
5206,11,19883,164,7,62.7,5.55,80.8,32.6,1290.4
5207,9,19908,172,7,50.9,5.48,30.0,46.2,1123.29
5208,10,19876,166,9,57.92,3.74,60.3,44.0,1452.19
5209,11,19235,149,7,50.42,6.03,30.0,40.0,1243.92
5210,10,20740,131,7,57.24,5.6,53.4,43.2,1182.92
5211,13,23936,168,9,51.33,4.9,51.2,45.5,1626.13
5212,13,23601,152,7,74.86,5.72,40.1,46.1,1473.77
5213,12,21879,78,7,63.82,5.83,46.6,38.8,1397.42
5214,12,22853,113,7,57.35,4.94,50.2,45.2,1125.28
5215,13,23367,120,9,60.02,5.48,59.1,49.6,1603.64
5216,12,26782,126,9,58.87,5.3,40.1,37.6,1781.43
5217,12,22905,165,10,63.82,5.44,45.0,46.5,1688.79
5218,15,26439,221,8,66.28,6.29,60.1,34.8,1526.53
5219,14,25123,48,8,64.47,5.76,62.5,58.1,1647.46
5220,14,28690,128,10,75.78,8.17,85.4,38.4,1757.07
5221,15,24856,119,9,50.23,6.54,55.8,36.4,1796.71
5222,10,21944,109,7,50.89,6.01,61.4,36.2,1222.89
5223,5,5641,365,4,55.86,1.39,51.1,32.0,721.24
5224,4,2755,365,1,64.75,1.73,70.6,25.9,216.09
5225,5,4996,348,2,57.36,1.55,42.6,36.7,539.41
5226,4,5590,357,2,72.03,1.47,53.0,26.4,394.72
5227,4,3953,365,2,68.37,1.68,56.8,26.7,412.7
5228,3,4529,364,2,68.65,1.5,59.7,25.2,453.18
5229,4,8024,354,1,68.64,1.77,65.0,42.0,325.76
5230,3,4621,327,2,62.92,0.84,51.4,23.1,342.71
5231,5,4810,365,4,53.18,1.51,64.5,50.5,540.89
5232,2,2255,346,3,72.97,1.82,36.8,40.3,428.76
5233,4,5587,355,1,67.82,1.64,56.8,19.0,244.05
5234,8,10377,315,5,64.43,2.98,31.2,43.9,921.5
5235,4,6423,333,2,67.8,1.68,51.1,23.6,378.8
5236,4,6754,331,2,63.98,0.93,83.8,29.7,525.12
5237,3,7816,264,1,64.12,1.93,57.0,13.7,293.37
5238,5,7704,298,4,62.34,2.36,48.1,29.8,645.04
5239,4,4872,295,3,65.44,1.56,60.0,50.8,589.24
5240,5,9621,297,6,51.86,2.03,53.2,24.3,1063.78
5241,6,11075,280,2,48.03,2.06,40.3,38.7,416.22
5242,4,7219,311,1,53.07,2.12,31.7,29.8,257.03
5243,7,10190,349,6,62.51,1.9,53.7,30.5,932.14
5244,7,11584,309,4,56.51,2.8,51.5,44.5,796.55
5245,7,10423,267,4,45.13,3.38,50.8,31.1,968.39
5246,6,6546,269,4,58.37,1.93,63.9,32.5,838.23
5247,11,16565,286,5,54.23,1.75,70.5,44.7,1008.17
5248,7,12348,253,5,55.38,2.23,62.7,44.6,944.0
5249,6,12062,302,4,42.54,3.2,50.0,29.7,843.28
5250,5,7739,330,4,57.14,2.45,55.7,48.9,517.27
5251,6,10509,269,5,72.09,2.83,67.4,18.5,740.19
5252,9,14232,286,6,65.5,2.24,64.7,34.0,1173.15
5253,9,14123,267,6,68.71,3.67,61.1,48.7,932.7
5254,9,14257,259,7,63.38,2.68,48.4,34.2,1207.17
5255,8,13031,281,6,54.26,3.0,67.4,38.2,1112.57
5256,5,9783,253,3,69.87,2.53,71.1,23.1,592.16
5257,8,14311,245,4,65.01,2.55,64.8,25.4,790.58
5258,5,11520,218,3,53.73,3.05,90.0,26.6,697.55
5259,5,8646,266,4,62.15,3.15,64.0,36.8,763.48
5260,8,13257,293,4,56.07,3.61,68.8,31.9,1020.58
5261,8,12971,279,5,55.24,2.38,62.7,36.1,808.03
5262,9,14091,299,5,50.0,2.82,53.4,34.8,907.34
5263,8,11406,232,4,67.5,3.01,40.9,42.2,793.44
5264,9,15156,275,5,49.26,3.46,45.8,26.0,1090.15
5265,6,12329,214,4,74.83,2.89,45.9,31.9,794.25
5266,8,13867,266,6,54.29,3.45,40.5,34.0,999.45
5267,6,11822,291,4,56.04,3.25,51.6,25.5,622.15
5268,5,11398,253,2,58.6,3.58,55.0,40.5,331.12
5269,10,19022,284,10,74.36,3.34,69.3,26.9,1774.36
5270,7,12765,214,6,66.67,3.27,40.5,37.7,997.62
5271,10,15328,225,7,82.02,3.97,65.7,44.4,1259.92
5272,10,17039,200,8,58.67,4.43,58.2,37.6,1260.58
5273,8,17690,226,6,56.03,4.33,59.5,52.3,1043.12
5274,10,15659,229,6,59.34,4.56,53.8,44.2,1034.35
5275,8,16065,219,7,51.8,4.67,80.1,31.0,1173.17
5276,6,14517,202,6,55.0,4.02,45.6,37.7,926.74
5277,9,12922,199,7,54.32,5.09,48.3,35.0,1128.56
5278,9,17175,222,7,61.31,4.58,56.4,35.5,1319.78
5279,9,17555,204,5,49.34,3.78,59.7,47.8,1087.94
5280,13,21184,171,8,59.01,3.99,57.7,51.1,1529.6
5281,7,13505,146,7,52.41,4.45,54.4,43.4,940.49
5282,10,17279,183,8,59.63,4.87,61.3,20.9,1254.34
5283,9,16607,156,5,63.27,4.39,62.2,41.6,858.54
5284,12,20472,166,7,56.35,4.14,54.5,57.0,1508.05
5285,11,19079,176,9,48.81,5.07,77.0,33.9,1625.97
5286,11,19433,181,8,61.02,4.19,60.3,44.2,1535.9
5287,9,19426,163,7,48.2,4.95,51.7,37.0,1125.15
5288,10,17108,246,7,65.64,4.87,69.9,46.6,1086.61
5289,12,18931,136,8,58.65,4.3,30.6,40.5,1541.66
5290,14,25855,208,8,48.62,5.91,41.5,55.2,1293.26
5291,12,21492,163,7,60.43,5.11,52.6,42.6,1328.09
5292,10,18888,146,8,61.91,4.56,40.9,62.6,1420.41
5293,12,21793,181,8,54.79,5.22,64.6,47.8,1327.99
5294,15,26009,146,10,59.9,4.41,64.2,69.2,1950.97
5295,12,21444,132,9,75.53,5.53,74.6,50.1,1531.52
5296,14,25479,207,11,67.37,5.83,48.1,45.9,1912.65
5297,11,19767,86,8,67.1,6.8,61.8,43.2,1453.29
5298,12,22182,138,9,60.05,5.62,70.4,48.0,1578.98
5299,13,20603,149,9,46.86,5.3,57.0,28.5,1543.78
5300,13,25818,182,8,63.34,5.8,66.8,54.6,1398.86
5301,11,21486,125,8,50.71,6.47,53.8,44.3,1438.1
5302,11,22890,213,9,71.85,6.08,70.8,47.3,1582.75
5303,14,26290,154,10,56.97,6.29,45.9,53.9,1857.8
5304,15,27690,58,11,63.62,6.31,36.4,40.6,1905.18
5305,15,26943,83,10,64.9,6.23,50.5,51.6,1807.96
5306,15,27627,131,10,53.1,5.32,53.9,51.0,1711.74
5307,14,24628,83,9,49.52,5.42,60.3,38.9,1742.25
5308,13,23338,128,11,48.95,5.49,60.4,58.5,1755.34
5309,15,27433,96,11,69.79,5.73,46.5,65.9,1978.96
5310,15,26655,71,11,66.61,7.83,43.0,47.8,2021.39
5311,2,4538,336,1,69.14,1.93,74.5,29.0,299.7
5312,2,3053,365,1,65.35,0.7,53.3,24.4,63.83
5313,4,4040,296,1,61.3,1.22,49.3,26.0,125.59
5314,3,3598,365,0,53.23,1.1,58.8,23.3,50.0
5315,4,5540,365,2,58.96,1.4,43.4,18.7,294.18
5316,5,6528,338,3,50.29,1.39,46.4,33.7,771.18
5317,5,7128,304,3,55.95,0.77,64.5,25.7,597.01
5318,6,8158,359,4,53.59,1.77,42.8,37.6,593.45
5319,1,500,325,1,55.08,1.19,39.0,19.2,60.46
5320,5,3809,292,2,68.23,1.22,50.7,21.3,596.51
5321,5,6610,365,3,61.35,1.5,58.1,25.2,689.46
5322,2,4501,305,2,72.7,2.1,71.5,27.5,187.57
5323,4,5651,284,2,74.64,1.46,59.1,25.9,477.5
5324,3,6985,333,3,71.62,1.9,61.2,19.2,448.51
5325,5,7595,319,3,52.72,2.13,42.7,43.5,539.63
5326,7,12236,362,4,42.43,2.13,57.2,23.7,624.51
5327,8,13218,303,4,63.89,2.15,41.6,47.0,760.6
5328,4,8402,300,4,46.64,1.42,66.0,37.6,536.43
5329,6,7555,317,5,58.86,2.26,56.4,39.7,966.54
5330,6,9521,310,2,69.38,1.82,54.4,38.7,383.14
5331,6,11419,308,4,58.21,1.45,61.1,26.4,835.88
5332,6,10084,307,4,61.05,2.14,49.1,28.2,681.23
5333,6,10597,302,4,74.78,2.17,49.2,48.0,527.83
5334,9,11508,278,6,65.77,4.03,43.6,47.0,1013.88
5335,8,15403,312,3,48.07,5.11,76.4,40.6,552.76
5336,5,7873,273,4,52.12,3.09,52.3,26.1,723.26
5337,8,9803,304,6,47.48,2.57,51.2,29.5,917.4
5338,8,12358,319,6,56.29,2.73,63.3,27.3,988.97
5339,7,8149,253,4,59.61,4.19,55.1,29.1,785.84
5340,9,12727,342,5,57.14,2.66,30.0,36.5,833.16
5341,7,15928,245,4,60.85,3.18,79.3,36.0,892.01
5342,8,12810,243,3,71.78,4.02,49.2,46.3,693.24
5343,8,11463,274,4,65.79,2.86,44.9,53.8,801.57
5344,5,10178,268,3,48.5,3.37,53.0,42.7,402.1
5345,8,12483,254,6,74.98,3.34,48.8,26.6,980.7
5346,7,14017,274,3,63.58,2.96,49.0,28.6,604.94
5347,6,10276,255,3,59.01,3.84,56.4,25.1,469.41
5348,10,16906,307,6,82.36,2.94,32.7,49.5,1198.38
5349,9,13669,241,7,45.28,3.94,63.8,45.1,1194.98
5350,8,18179,215,8,53.78,3.81,66.4,32.9,1184.9
5351,8,15170,220,6,62.21,4.12,34.7,36.0,996.77
5352,9,15532,247,5,53.96,3.65,60.5,40.7,954.6
5353,10,16646,244,6,60.23,4.02,44.7,45.4,1310.03
5354,8,13990,232,6,61.68,4.41,49.7,46.9,1070.52
5355,9,14969,198,5,59.2,3.25,59.2,40.7,869.46
5356,10,16217,254,8,63.45,3.4,65.4,39.3,1283.8
5357,6,15342,273,5,54.36,4.42,59.0,36.3,789.65
5358,9,15821,210,6,39.7,4.66,38.3,37.3,1127.77
5359,9,13546,261,4,51.64,4.37,55.8,42.2,869.44
5360,10,16416,227,8,67.09,4.88,60.9,39.5,1397.26
5361,9,18492,264,5,62.3,4.32,45.7,48.5,940.0
5362,10,18012,209,7,58.08,5.18,44.9,51.2,1074.1
5363,13,21879,196,8,71.91,4.56,54.1,45.4,1523.82
5364,10,20325,215,5,59.41,4.26,61.9,57.6,912.13
5365,11,18694,174,7,64.95,5.41,48.2,44.6,1323.52
5366,13,23299,197,7,51.19,5.16,57.9,50.4,1226.23
5367,10,17838,223,6,64.56,4.57,39.9,52.5,1108.17
5368,14,24729,201,9,57.08,4.71,58.2,65.2,1703.51
5369,11,19813,172,8,56.23,5.3,33.1,52.4,1588.39
5370,14,23773,175,9,54.69,4.57,58.7,51.6,1576.35
5371,13,24390,186,8,59.51,5.36,65.6,44.0,1615.53
5372,12,23307,179,8,60.43,5.24,53.0,47.5,1533.73
5373,12,22027,178,8,61.94,5.48,61.7,49.8,1394.78
5374,11,20593,159,6,50.29,4.49,57.9,46.3,1152.08
5375,12,25034,121,8,55.03,5.12,38.5,43.2,1376.51
5376,14,26009,123,8,53.19,5.75,40.8,42.9,1438.5
5377,12,22228,154,8,66.28,6.2,50.7,46.6,1286.07
5378,12,22060,160,7,50.9,5.73,53.2,39.6,1212.46
5379,12,24667,153,7,64.63,6.21,45.6,31.4,1058.04
5380,14,25793,110,10,70.2,5.16,40.4,41.7,1765.71
5381,15,26665,123,10,50.99,5.73,30.0,47.1,1943.84
5382,12,23572,90,7,44.78,6.14,75.1,38.4,1337.83
5383,12,23997,81,8,55.64,6.02,75.5,46.4,1438.64
5384,14,25895,123,10,62.94,6.48,44.9,38.5,1692.97
5385,15,29076,159,9,62.26,6.02,37.7,41.3,1864.51
5386,15,29294,117,10,55.91,6.1,72.5,60.6,1898.63
5387,12,24828,165,9,63.07,6.68,30.0,51.9,1427.74
5388,13,27382,101,9,58.23,6.13,67.3,48.9,1804.11
5389,13,25423,104,8,66.43,6.0,62.6,57.6,1628.39
5390,14,27780,70,10,59.05,6.76,50.8,42.7,1650.67
5391,15,29542,87,10,62.47,6.09,71.7,56.3,1874.39
5392,12,26189,56,11,53.05,7.41,47.1,42.8,1777.57
5393,12,26124,43,9,62.67,5.83,65.1,56.3,1359.32
5394,13,26987,51,10,60.85,6.65,52.0,48.2,1624.93
5395,15,31466,87,11,80.62,9.66,40.4,43.3,1992.47
5396,15,27855,58,10,67.1,7.91,79.5,61.2,1859.87
5397,15,28522,63,10,54.67,6.93,46.5,47.1,2072.43
5398,15,28523,88,11,61.67,7.58,49.8,40.9,1934.6
5399,13,26028,26,10,54.25,7.49,64.8,58.5,1535.42
5400,15,26087,72,12,70.98,8.9,69.9,55.4,1938.09
5401,15,31357,89,11,59.89,9.51,39.2,43.4,1871.25
5402,15,27846,89,11,66.94,8.89,72.3,49.4,1886.02
5403,1,1455,365,1,68.62,0.5,54.9,21.2,122.34
5404,3,1557,361,1,56.51,1.3,53.9,19.1,267.19
5405,4,5911,341,1,63.11,1.38,53.0,21.4,424.43
5406,5,5227,352,2,59.46,0.63,54.8,29.5,474.12
5407,1,500,365,1,64.03,1.2,36.3,30.1,50.0
5408,4,5677,358,4,59.76,0.73,59.9,34.9,670.87
5409,2,2024,344,2,49.64,1.14,57.5,19.9,133.74
5410,5,5904,362,3,60.24,1.21,50.6,36.9,488.11
5411,5,7113,344,4,68.45,1.85,57.5,42.2,848.03
5412,6,9390,345,3,63.39,1.3,52.5,25.4,389.55
5413,3,3452,329,1,71.74,0.97,54.1,32.1,428.71
5414,6,6883,321,4,58.64,2.51,60.0,32.4,765.1
5415,7,9830,358,5,61.39,2.02,52.3,32.1,905.27
5416,2,4694,267,1,59.56,2.27,45.7,24.4,56.85
5417,6,11014,336,2,46.17,2.2,64.1,38.8,479.82
5418,6,7303,305,4,62.09,2.42,42.1,22.2,661.65
5419,5,7323,260,4,63.87,2.22,67.6,30.3,584.51
5420,3,7254,285,0,70.09,2.28,50.9,23.3,98.44
5421,7,13340,311,5,59.36,2.16,65.5,34.4,1106.69
5422,4,5380,313,1,48.47,1.93,72.3,26.8,349.82
5423,5,7097,328,4,63.66,2.67,54.3,24.2,649.1
5424,6,10112,327,2,39.64,2.17,65.5,47.3,508.46
5425,7,9963,254,3,68.79,2.41,62.6,13.3,588.19
5426,5,7381,309,4,58.23,2.59,57.2,34.8,741.78
5427,5,8977,317,4,60.02,2.68,62.2,34.9,548.26
5428,6,12224,300,4,57.06,1.99,51.6,32.9,796.83
5429,8,10426,306,7,63.87,2.65,74.7,38.5,998.37
5430,10,17128,230,5,60.94,2.09,56.0,45.3,962.6
5431,4,6908,256,2,53.59,2.74,46.2,24.0,502.19
5432,7,11979,324,4,70.79,3.09,49.8,31.3,932.98
5433,5,11536,273,3,61.53,3.65,65.7,27.7,326.42
5434,8,13328,345,5,74.9,3.09,44.0,40.1,792.8
5435,5,8884,238,3,42.23,3.28,77.7,34.4,553.3
5436,6,11697,321,5,57.5,2.36,70.7,23.9,904.34
5437,6,10495,252,5,47.07,3.24,40.2,31.8,771.31
5438,7,12872,292,6,66.9,2.49,64.3,29.4,989.83
5439,8,13118,254,5,48.63,3.73,43.4,28.8,916.21
5440,8,14807,264,5,57.42,2.64,45.0,32.5,905.99
5441,7,10314,276,5,56.45,2.74,49.4,25.4,871.35
5442,6,9910,234,4,60.94,3.73,46.1,17.9,718.22
5443,9,13052,273,6,66.89,4.26,63.7,39.0,1240.36
5444,8,13970,238,3,58.79,4.0,58.0,43.9,656.93
5445,10,14296,248,6,51.81,3.37,60.1,37.9,1244.62
5446,7,12042,161,5,51.6,3.11,55.0,41.7,873.56
5447,6,10354,226,4,63.11,3.46,48.7,38.5,647.95
5448,8,16725,272,5,69.67,3.79,48.8,29.4,891.89
5449,10,15509,253,5,59.85,3.74,68.3,33.7,826.46
5450,9,13955,256,6,55.64,3.31,50.8,26.9,969.72
5451,8,15148,229,5,60.69,4.52,71.7,38.2,845.55
5452,8,17530,271,7,67.83,4.65,47.4,40.4,1172.27
5453,12,19716,227,6,49.41,4.99,55.6,44.3,1363.49
5454,8,15167,195,5,56.73,3.29,58.7,30.1,883.58
5455,8,17251,238,4,55.12,3.77,69.2,35.6,695.29
5456,10,19122,238,8,56.81,4.35,66.6,45.8,1443.82
5457,7,14978,225,6,51.87,4.3,58.7,39.0,1018.33
